Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,313,10080.0,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",654.0,Personal Success,1
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3658,615.0,Brought to you by Penguin.,203.0,Meditation,1
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20174,10378.0,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",317.0,Personal Success,3
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4614,888.0,Brought to you by Penguin.,335.0,Psychology,1
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4302,1005.0,"Stop going through life,  Start growing through life!",385.0,Literary Essays,1
Extraordinary Leadership,Robin Sharma,4.1,179,0.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",66.0,Leadership,1
Sapiens,Yuval Noah Harari,4.6,19994,1093.0,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,918.0,Anthropology,1
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253,18290.0,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,1068.0,Personal Finance,1
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,21936,837.0,Rich Dad Poor Dad will…. ,369.0,Personal Finance,2
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082,8735.0,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",664.0,Sleep Disorders,1
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43,0.0,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",439.0,Entrepreneurship,1
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3766,12356.0,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",606.0,Consumer Behaviour,1
The Sandman,Neil Gaiman,5.0,1,1171.0,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",654.0,Epic Fantasy,1
