Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank,Review Count Range,combined_text,cleaned_text,cluster
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,313,10080.0,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",654.0,Personal Success,1,201-500,"Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",think like monk secret harness power positivity happy past three year jay shetty become one world popular influencers one clip watched video facebook last year million view social medium following total million produced viral video amassed five billion view podcast purpose consistently ranked world number one healthrelated podcast,0
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3658,615.0,Brought to you by Penguin.,203.0,Meditation,1,1001-5000,Ikigai: The Japanese Secret to a Long and Happy Life Brought to you by Penguin.,ikigai japanese secret long happy life brought penguin,3
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20174,10378.0,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",317.0,Personal Success,3,20001+,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",subtle art giving fck counterintuitive approach living good life generationdefining selfhelp guide superstar blogger cut crap show u stop trying positive time truly become better happier people,0
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4614,888.0,Brought to you by Penguin.,335.0,Psychology,1,1001-5000,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones Brought to you by Penguin.,atomic habit easy proven way build good habit break bad one brought penguin,3
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4302,1005.0,"Stop going through life,  Start growing through life!",385.0,Literary Essays,1,1001-5000,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life Stop going through life,  Start growing through life!",life amazing secret find balance purpose life stop going life start growing life,0
Extraordinary Leadership,Robin Sharma,4.1,179,0.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",66.0,Leadership,1,51-200,"Extraordinary Leadership 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",extraordinary leadership completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,3
Sapiens,Yuval Noah Harari,4.6,19994,1093.0,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,918.0,Anthropology,1,5001-20000,Sapiens Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,sapiens fire gave u power farming made u hungry money gave u purpose science made u deadly,0
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253,18290.0,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,1068.0,Personal Finance,1,5001-20000,The Intelligent Investor Rev Ed. The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,intelligent investor rev ed classic text annotated update graham timeless wisdom today market condition,0
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,21936,837.0,Rich Dad Poor Dad will…. ,369.0,Personal Finance,2,20001+,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! Rich Dad Poor Dad will…. ,rich dad poor dad rich teach kid money poor middle class rich dad poor dad,0
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082,8735.0,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",664.0,Sleep Disorders,1,5001-20000,"The 5AM Club: Own Your Morning. Elevate Your Life. Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",club morning elevate life legendary leadership elite performance expert robin sharma introduced club concept year ago based revolutionary morning routine helped client maximise productivity activate best health bulletproof serenity age overwhelming complexity,0
